AtomicNumber,Symbol,EnglishName,Group,Period,Block,Category,AtomicMass,Configuration,ShellConfiguration,StandardState,Density,MeltingPoint,BoilingPoint,HeatCapacity,HeatOfFusion,HeatOfVaporization,AtomicRadius,CovalentRadius,VanDerWaalsRadius,Electronegativity,OxidationStates,IonizationEnergy,ThermalConductivity,ElectronAffinity,AbundanceCrust,AbundanceUniverse,Discovery,Radioactive,DiscoveredBy
1,H,Hydrogen,1,1,s,0,1.008,1s1,"1,,,,,,",0,0.00008988,14.01,20.28,14.304,0.117,0.904,53,38,120,2.2,1,1312,0.1805,72.769,1400,75,1766,0,H. Cavendish
2,He,Helium,18,1,s,7,4.002602,1s2,"2,,,,,,",0,0.0001785,,4.22,5.193,0.0138,0.0829,31,32,140,,0,2372.3,0.1513,-50,0.008,23,1868,0,"P. Janssen, N. Lockyer"
3,Li,Lithium,1,2,s,1,6.94,[He] 2s1,"2,1,,,,,",2,0.534,453.69,1560,3.582,3,136,167,134,182,0.98,1,520.2,84.8,59.632,20,0.0000006,1817,0,A. Arfwedson
4,Be,Beryllium,2,2,s,2,9.0121831,[He] 2s2,"2,2,,,,,",2,1.85,1560,2742,1.825,7.895,292,112,90,153,1.57,2,899.5,200,-50,2.8,0.0000001,1798,0,N. Vauquelin
5,B,Boron,13,2,p,5,10.81,[He] 2s2 2p1,"2,3,,,,,",2,2.34,2349,4200,1.026,50.2,508,87,82,192,2.04,3,800.6,27.4,26.989,10,0.0000001,1808,0,"L. Gay-Lussac, L.J. Thénard"
6,C,Carbon,14,2,p,0,12.011,[He] 2s2 2p2,"2,4,,,,,",2,2.267,3800,4300,0.709,117,,67,77,170,2.55,"-4,-3,-2,-1,0,1,2,3,4",1086.5,140,121.776,200,0.5,-3750,0,
7,N,Nitrogen,15,2,p,0,14.007,[He] 2s2 2p3,"2,5,,,,,",0,0.0012506,63.15,77.36,1.04,0.72,5.57,56,75,155,3.04,"-3,2,3,4,5",1402.3,0.02583,-0.07,19,0.1,1772,0,D. Rutherford
8,O,Oxygen,16,2,p,0,15.999,[He] 2s2 2p4,"2,6,,,,,",0,0.001429,54.36,90.2,0.918,0.444,6.82,48,73,152,3.44,-2,1313.9,0.02658,140.976,461000,1,1771,0,W. Scheele
9,F,Fluorine,17,2,p,6,18.99840316,[He] 2s2 2p5,"2,7,,,,,",0,0.001696,53.53,85.03,0.824,0.51,6.62,42,71,147,3.98,-1,1681,0.0277,328.164,585,0.00004,1810,0,A.-M. Ampère
10,Ne,Neon,18,2,p,7,20.1797,[He] 2s2 2p6,"2,8,,,,,",0,0.0008999,24.56,27.07,1.03,0.335,1.71,38,69,154,,0,2080.7,0.0491,-120,0.005,0.13,1898,0,"W. Ramsay, W. Travers"
