Symbol,LocalName
H,Hidrógeno
He,Helio
Li,Litio
Be,Berilio
B,Boro
C,Carbono
N,Nitrógeno
O,Oxígeno
F,Flúor
Ne,Neón
Na,Sodio
Mg,Magnesio
Al,Aluminio
Si,Silicio
P,Fósforo
S,Azufre
Cl,Cloro
Ar,Argón
K,Potasio
Ca,Calcio
Sc,Escandio
Ti,Titanio
V,Vanadio
Cr,Cromo
Mn,Manganeso
Fe,Hierro
Co,Cobalto
Ni,Níquel
Cu,Cobre
Zn,Zinc
Ga,Galio
Ge,Germanio
As,Arsénico
Se,Selenio
Br,Bromo
Kr,Kriptón
Rb,Rubidio
Sr,Estroncio
Y,Ytrio
Zr,Zirconio
Nb,Niobio
Mo,Molibdeno
Tc,Tecnecio
Ru,Rutenio
Rh,Rodio
Pd,Paladio
Ag,Plata
Cd,Cadmio
In,Indio
Sn,Estaño
Sb,Antimonio
Te,Teluro
I,Yodo
Xe,Xenón
Cs,Cesio
Ba,Bario
La,Lantano
Ce,Cerio
Pr,Praseodimio
Nd,Neodimio
Pm,Prometio
Sm,Samario
Eu,Europio
Gd,Gadolinio
Tb,Terbio
Dy,Disprosio
Ho,Holmio
Er,Erbio
Tm,Tulio
Yb,Yterbio
Lu,Lutecio
Hf,Hafnio
Ta,Tantalio
W,Wolframio
Re,Renio
Os,Osmio
Ir,Iridio
Pt,Platino
Au,Oro
Hg,Mercurio
Tl,Talio
Pb,Plomo
Bi,Bismuto
Po,Polonio
At,Astato
Rn,Radón
Fr,Francio
Ra,Radio
Ac,Actinio
Th,Torio
Pa,Protactinio
U,Uranio
Np,Neptunio
Pu,Plutonio
Am,Americio
Cm,Curio
Bk,Berkelio
Cf,Californio
Es,Einsteinio
Fm,Fermio
Md,Mendelevio
No,Nobelio
Lr,Laurencio
Rf,Rutherfordio
Db,Dubnio
Sg,Seaborgio
Bh,Bohrio
Hs,Hassio
Mt,Meitnerio
Ds,Darmstadtio
Rg,Roentgenio
Cn,Copernicio
Nh,Nihonio
Fl,Flerovio
Mc,Moscovio
Lv,Livermorio
Ts,Teneso
Og,Oganesón
