Symbol,LocalName
H,Hydrogène
He,Hélium
Li,Lithium
Be,Béryllium
B,Bore
C,Carbone
N,Azote
O,Oxygène
F,Fluor
Ne,Néon
Na,Sodium
Mg,Magnésium
Al,Aluminium
Si,Silicium
P,Phosphore
S,Soufre
Cl,Chlore
Ar,Argon
K,Potassium
Ca,Calcium
Sc,Scandium
Ti,Titane
V,Vanadium
Cr,Chrome
Mn,Manganèse
Fe,Fer
Co,Cobalt
Ni,Nickel
Cu,Cuivre
Zn,Zinc
Ga,Gallium
Ge,Germanium
As,Arsenic
Se,Sélénium
Br,Brome
Kr,Krypton
Rb,Rubidium
Sr,Strontium
Y,Yttrium
Zr,Zirconium
Nb,Niobium
Mo,Molybdène
Tc,Technétium
Ru,Ruthénium
Rh,Rhodium
Pd,Palladium
Ag,Argent
Cd,Cadmium
In,Indium
Sn,Étain
Sb,Antimoine
Te,Tellure
I,Iode
Xe,Xénon
Cs,Césium
Ba,Baryum
La,Lanthane
Ce,Cérium
Pr,Praséodyme
Nd,Néodyme
Pm,Prométhium
Sm,Samarium
Eu,Europium
Gd,Gadolinium
Tb,Terbium
Dy,Dysprosium
Ho,Holmium
Er,Erbium
Tm,Thulium
Yb,Ytterbium
Lu,Lutécium
Hf,Hafnium
Ta,Tantale
W,Tungstène
Re,Rhénium
Os,Osmium
Ir,Iridium
Pt,Platine
Au,Or
Hg,Mercure
Tl,Thallium
Pb,Plomb
Bi,Bismuth
Po,Polonium
At,Astate
Rn,Radon
Fr,Francium
Ra,Radium
Ac,Actinium
Th,Thorium
Pa,Protactinium
U,Uranium
Np,Neptunium
Pu,Plutonium
Am,Américium
Cm,Curium
Bk,Berkélium
Cf,Californium
Es,Einsteinium
Fm,Fermium
Md,Mendélévium
No,Nobélium
Lr,Lawrencium
Rf,Rutherfordium
Db,Dubnium
Sg,Seaborgium
Bh,Bohrium
Hs,Hassium
Mt,Meitnérium
Ds,Darmstadtium
Rg,Roentgenium
Cn,Copernicium
Nh,Nihonium
Fl,Flérovium
Mc,Moscovium
Lv,Livermorium
Ts,Tennesse
Og,Oganesson
